,Unnamed: 0,Unnamed: 0.1,글쎄요,보고싶어요,참여인원,평점,title,y,런타임,장르,개봉일,등급,개봉년도,개봉월
56,56,56,121,564,55,8.51,가을 우체국 (Autumn Sonata),0,84,"['멜로/로맨스', '드라마']",['2017.10.19'],12세,2017,10
57,57,57,0,0,591,9.6,가을로 (Traces Of Love),1,114,"['멜로/로맨스', '드라마']",['2006.10.26'],15세,2006,10
58,58,58,15,32,14,8.14,가족의 재구성,0,76,['멜로/로맨스'],['2017.02.09'],청소년,2017,2
59,59,59,5,29,11,9.91,가출 (Run Away),0,40,['드라마'],[],,0,0
60,60,60,63,72,44,4.39,가현이들 (The Part-Time Workers’ Union),0,77,['다큐멘터리'],[],,0,0
61,61,61,0,0,105,7.04,간 큰 가족 (A Bold Family),0,102,['코미디'],['2005.06.09'],12세,2005,6
62,62,62,0,0,81,8.81,간기남 (The Scent),0,117,"['스릴러', '코미디']",['2012.04.11'],청소년,2012,4
63,63,63,2003,4570,576,8.31,간신 (The Treacherous),0,131,['드라마'],['2015.05.21'],청소년,2015,5
64,64,64,0,0,72,9.57,간첩 (The Spies),0,115,"['드라마', '코미디', '액션']",['2012.09.20'],15세,2012,9
65,65,65,0,0,10,4.6,갈갈이 패밀리와 드라큐라 (Galgalri Family And Dracula),0,85,['코미디'],['2003.08.01'],전체,2003,8
66,66,66,9,28,10,10,감금의 시간,0,91,"['스릴러', '드라마']",['2015.12.03'],청소년,2015,12
67,67,67,0,0,1100,8.35,감시자들 (Cold Eyes),1,119,"['범죄', '액션', '스릴러']",['2013.07.03'],15세,2013,7
68,68,68,0,0,14,6.57,감자 심포니 (Potato Sympony),0,107,"['코미디', '액션', '드라마']",['2009.12.10'],15세,2009,12
69,69,69,16,46,12,8.75,감출 수 없는 본능-몰카,0,95,"['스릴러', '드라마']",['2016.06.09'],청소년,2016,6
70,70,70,4102,21361,1319,9.32,강남 1970 (Gangnam Blues),0,135,"['액션', '드라마']",['2015.01.21'],청소년,2015,1
71,71,71,0,0,136,8.4,강력3반 (Never To Lose),0,111,"['액션', '드라마', '스릴러']",['2005.09.29'],15세,2005,9
72,72,72,0,0,91,6.98,강적 (强敵),0,118,"['액션', '스릴러', '범죄']",['2006.06.22'],15세,2006,6
73,73,73,0,0,155,8.79,강철대오: 구국의 철가방 (Almost Che),0,113,['코미디'],['2012.10.25'],15세,2012,10
74,74,74,1474,5965,860,7.47,강철비 (Steel Rain),1,139,"['액션', '드라마']",['2017.12.14'],15세,2017,12
75,75,75,0,0,228,9.43,강철중: 공공의 적 1-1 (Public Enemy Returns),1,127,"['범죄', '스릴러', '코미디', '드라마', '액션']",['2008.06.19'],15세,2008,6
76,76,76,152,619,73,9.62,개: dog eat dog (Dog Eat Dog),0,101,"['범죄', '드라마']",['2015.03.05'],청소년,2015,3
77,77,77,0,0,143,9.14,개들의 전쟁,1,96,"['액션', '드라마', '코미디']",['2012.11.22'],청소년,2012,11
78,78,78,0,0,28,8.5,개똥이 (Over and Over Again),0,81,['드라마'],['2013.09.05'],청소년,2013,9
79,79,79,648,5046,467,9.27,개를 훔치는 완벽한 방법 (How To Steal A Dog),1,109,"['드라마', '가족']",['2014.12.31'],전체,2014,12
80,80,80,4,5,20,7.1,개와 늑대 사이의 시간 (Time Between Dog And Wolf),0,108,['드라마'],[],15세,0,0
81,81,81,0,0,275,7.97,거룩한 계보 (Righteous Ties),0,126,"['드라마', '액션']",['2006.10.19'],15세,2006,10
82,82,82,23,80,11,7.55,거미의 땅 (Tour of Duty),0,150,['다큐멘터리'],['2016.01.14'],,2016,1
83,83,83,0,0,127,9.02,거북이 달린다 (Running Turtle),1,117,"['범죄', '코미디', '액션', '드라마']",['2009.06.11'],15세,2009,6
84,84,84,1,5,43,9.65,거위도 난다 (Goose Can Fly),0,27,['드라마'],[],15세,0,0
85,85,85,0,0,32,7.22,거칠마루 (Geochilmaru),0,86,['액션'],['2005.09.15'],15세,2005,9
86,86,86,0,0,568,9.01,건축학개론 (Architecture 101),1,118,['멜로/로맨스'],['2012.03.22'],12세,2012,3
87,87,87,285,1663,301,8.95,걷기왕 (Queen of Walking),0,93,['드라마'],['2016.10.20'],12세,2016,10
88,88,88,0,0,39,8.15,걸스카우트 (Girl Scouts),0,99,"['코미디', '범죄', '드라마']",['2008.06.05'],15세,2008,6
89,89,89,0,0,56,7.27,걸프렌즈 (Girlfriends),0,114,"['멜로/로맨스', '코미디']",['2009.12.17'],15세,2009,12
90,90,90,2492,46891,744,9,검사외전 (A Violent Prosecutor),1,126,"['범죄', '코미디']",['2016.02.03'],15세,2016,2
91,91,91,0,0,12,8.92,검은 땅의 소녀와 (With A Girl Of Black Soil),0,89,['드라마'],['2007.11.15'],전체,2007,11
92,92,92,2041,15918,520,8.48,검은 사제들 (The Priests),1,108,"['미스터리', '드라마']",['2015.11.05'],15세,2015,11
93,93,93,145,372,52,8.44,검은손 (Black Hand),0,96,['공포'],['2015.04.16'],청소년,2015,4
94,94,94,3,58,18,9.28,검지손가락,0,0,['드라마'],[],,0,0
95,95,95,107,85,23,6.43,게이봉박두3: Some,0,0,[''],[],,0,0
96,96,96,46,60,17,5.47,게이봉박두5 : 자유로운 연애중,0,60,['드라마'],['2017.09.02'],,2017,9
97,97,97,0,0,10,8.8,겨울나비,0,90,['드라마'],['2011.07.07'],15세,2011,7
98,98,98,0,0,51,9.39,겨울냄새 (winter smells),0,80,['다큐멘터리'],['2011.08.18'],전체,2011,8
99,99,99,0,0,69,9.13,결정적 한방,0,100,"['드라마', '코미디']",['2011.12.07'],15세,2011,12
100,100,100,0,0,15,7.6,경계도시 2 (The Border City 2),0,104,['다큐멘터리'],['2010.03.18'],15세,2010,3
101,101,101,1340,8640,226,8.81,경성학교: 사라진 소녀들 (The Silenced),0,99,"['미스터리', '드라마']",['2015.06.18'],15세,2015,6
102,102,102,0,0,14,8.71,경의선 (The Railroad),0,107,"['멜로/로맨스', '드라마']","['2012.02.02', '2007.05.10']",15세,2012,2
103,103,103,197,1465,134,9,경주,1,145,['드라마'],['2014.06.12'],15세,2014,6
104,104,104,0,0,27,9.52,계몽영화 (Enlightenment Film),0,121,"['드라마', '가족']",['2010.09.16'],15세,2010,9
105,105,105,658,6385,466,8.99,계춘할망 (Canola),0,116,"['드라마', '가족']",['2016.05.19'],15세,2016,5
106,106,106,0,0,74,9.05,고고70 (Go Go 70's),0,118,['드라마'],['2008.10.03'],15세,2008,10
107,107,107,288,2251,139,9.18,고녀석 맛나겠다2 : 함께라서 행복해 (あなたをずっとあいしてる),0,80,"['애니메이션', '가족', '모험']",['2015.07.29'],전체,2015,7
108,108,108,0,0,87,9.6,고래를 찾는 자전거,0,100,['드라마'],['2011.09.22'],전체,2011,9
109,109,109,0,0,305,8.81,고령화 가족 (Boomerang Family),0,112,['드라마'],['2013.05.09'],15세,2013,5
110,110,110,10,119,13,8.54,고백할 수 없는 (Unconfessional),0,84,"['범죄', '스릴러', '미스터리']",['2016.03.31'],청소년,2016,3
111,111,111,0,0,1920,8.59,고사 두 번째 이야기: 교생실습 (Death Bell 2: Bloody Camp),1,84,"['공포', '스릴러']",['2010.07.28'],15세,2010,7
112,112,112,0,0,798,8.69,고사: 피의 중간고사 (Death Bell),1,85,"['공포', '스릴러']",['2008.08.07'],15세,2008,8
113,113,113,625,3583,491,8.05,"고산자, 대동여지도 (古山子, 大東輿地圖)",0,129,['드라마'],['2016.09.07'],전체,2016,9
114,114,114,34,96,40,8.62,"고스톱 살인 (Go, Stop, Murder)",0,100,"['판타지', '드라마', '스릴러']",['2014.03.20'],15세,2014,3
115,115,115,124,2658,415,9.67,고스트 메신저 극장판,0,78,"['애니메이션', 'SF', '판타지']",['2014.05.22'],12세,2014,5
116,116,116,0,5,10,9.17,고슴도치 고슴,0,12,[''],[],,0,0
117,117,117,0,0,13,8.62,고양이 소녀,0,85,['멜로/로맨스'],['2013.11.28'],청소년,2013,11
118,118,118,437,1261,162,7.94,고양이 장례식 (The Cat Funeral),0,107,"['멜로/로맨스', '드라마']",['2015.01.15'],12세,2015,1
119,119,119,0,0,647,5.64,고양이: 죽음을 보는 두 개의 눈,0,106,['공포'],['2011.07.07'],15세,2011,7
120,120,120,1,42,11,6.8,고양이를 돌려줘 (Give Me Back My Cat),0,29,"['드라마', '코미디']",[],,0,0
121,121,121,0,0,552,6,고지전 (高地戰),0,133,"['전쟁', '드라마']",['2011.07.20'],15세,2011,7
122,122,122,11,199,92,9.57,고향이 어디세요 (Where is Your Hometown),0,78,['다큐멘터리'],['2017.11.09'],12세,2017,11
123,123,123,2644,15570,812,8.84,곡성(哭聲) (THE WAILING),1,156,"['미스터리', '스릴러', '드라마']",['2016.05.12'],15세,2016,5
124,124,124,53,291,48,6.33,곤충왕국 3D,0,85,['다큐멘터리'],['2014.08.14'],전체,2014,8
125,125,125,0,0,74,8.14,공공의 적 2 (Another Public Enemy),0,148,"['드라마', '범죄']",['2005.01.27'],15세,2005,1
126,126,126,20,148,20,8.65,공동정범 (The Remnants),0,106,['다큐멘터리'],['2018.01.25'],15세,2018,1
127,127,127,0,0,113,9.59,공모자들 (Traffickers),1,111,"['범죄', '스릴러']",['2012.08.29'],청소년,2012,8
128,128,128,931,10237,684,7.27,공범자들 (Criminal Conspiracy),1,106,['다큐멘터리'],['2017.08.17'],15세,2017,8
129,129,129,112,245,32,5.25,공사중,0,92,[''],[],청소년,0,0
130,130,130,0,0,138,8.77,공정사회 (AZOOMA),1,75,['드라마'],['2013.04.18'],청소년,2013,4
131,131,131,1277,9879,616,8.5,공조 (共助),1,125,['액션'],['2017.01.18'],15세,2017,1
132,132,132,32,94,20,7.3,공즉시색,0,90,['멜로/로맨스'],['2015.11.26'],청소년,2015,11
133,133,133,0,0,52,5.13,공필두 (Detective Mr. Gong),0,104,['코미디'],['2006.05.11'],15세,2006,5
134,134,134,0,0,741,8.91,과속스캔들 (Speed Scandal),1,108,['코미디'],['2008.12.03'],12세,2008,12
135,135,135,0,0,217,7.65,관능의 법칙 (Venus Talk),0,108,"['드라마', '코미디']",['2014.02.13'],청소년,2014,2
136,136,136,0,0,1588,9.51,관상 (The Face Reader),1,139,['드라마'],['2013.09.11'],15세,2013,9
137,137,137,0,0,79,8.52,광식이 동생 광태 (When Romance Meets Destiny),0,104,"['멜로/로맨스', '코미디']",['2005.11.23'],15세,2005,11
138,138,138,0,0,278,9.79,"광해, 왕이 된 남자 (Masquerade)",1,131,['드라마'],['2012.09.13'],15세,2012,9
139,139,139,0,0,14,9.29,"괜찮아, 울지마 (Let's Not Cry!)",0,96,['드라마'],['2007.08.30'],전체,2007,8
140,140,140,30,36,14,2.93,구럼비-바람이 분다 (Gureombi ?The Wind Is Blowing),0,100,['다큐멘터리'],[],,0,0
141,141,141,0,0,197,8.9,구르믈 버서난 달처럼 (Blades Of Blood),0,111,"['드라마', '액션']",['2010.04.28'],15세,2010,4
142,142,142,0,0,61,6.69,구미호 가족 (The Fox Family),0,102,"['뮤지컬', '판타지', '코미디']",['2006.09.28'],15세,2006,9
143,143,143,2,3,29,8.97,구보씨 일보 (A Big Tiny Step),0,30,['드라마'],[],15세,0,0
144,144,144,0,0,81,6.81,구세주 2,0,100,['코미디'],['2009.02.26'],15세,2009,2
145,145,145,167,327,73,7.71,구세주: 리턴즈,0,98,['코미디'],['2017.09.14'],15세,2017,9
146,146,146,0,0,97,7.98,구타유발자들 (A Bloody Aria),0,115,"['코미디', '범죄']",['2006.05.31'],청소년,2006,5
147,147,147,4,34,11,9.64,구하라! (Rescue!),0,29,[''],[],,0,0
148,148,148,1289,7290,1745,8.97,국가대표2 (Run-Off),1,126,['드라마'],['2016.08.10'],12세,2016,8
149,149,149,5,147,18,9.89,국가에 대한 예의 (Courtesy to the Nation),0,90,['다큐멘터리'],[],,0,0
150,150,150,0,0,112,8.69,국경의 남쪽 (South Of The Border),0,109,"['드라마', '멜로/로맨스']",['2006.05.04'],12세,2006,5
151,151,151,153,193,99,3.07,국정교과서 516일: 끝나지 않은 역사전쟁 (State-authorized Textbook),0,97,['다큐멘터리'],['2017.11.23'],12세,2017,11
152,152,152,2052,12784,1231,8.76,국제시장 (Ode to My Father),1,126,['드라마'],['2014.12.17'],12세,2014,12
153,153,153,0,0,16,9.38,국화꽃 향기 (The Scent Of Love),0,97,"['드라마', '멜로/로맨스']",['2003.02.28'],15세,2003,2
154,154,154,1262,14319,1744,9.28,군도:민란의 시대 (KUNDO : Age of the Rampant),1,137,['액션'],['2014.07.23'],15세,2014,7
155,155,155,0,0,39,5.38,군사통제구역 팔이공지대,0,89,"['미스터리', '드라마']",['2013.07.25'],청소년,2013,7
156,156,156,8642,97770,3377,8.54,군함도 (The Battleship Island),0,132,"['액션', '드라마']",['2017.07.26'],15세,2017,7
157,157,157,0,0,224,8.83,굿모닝 프레지던트 (Good Morning President),0,132,['코미디'],['2009.10.22'],전체,2009,10
158,158,158,47,373,82,9.8,굿바이 그리고 헬로우 (Goodbye and Hello),0,82,[''],['2015.12.24'],12세,2015,12
159,159,159,0,0,27,9.15,굿바이 보이 (Boy),0,112,['드라마'],['2011.06.02'],청소년,2011,6
160,160,160,668,6176,1307,9.39,굿바이 싱글 (Familyhood),1,119,"['코미디', '드라마']",['2016.06.29'],15세,2016,6
161,161,161,0,0,49,9.39,굿바이 홈런 (Goodbye Homerun),0,84,['다큐멘터리'],['2013.02.14'],,2013,2
162,162,162,0,0,276,8.16,권순분 여사 납치사건 (Mission Possible: Kidnapping Granny K),1,118,"['코미디', '범죄']",['2007.09.12'],15세,2007,9
163,163,163,0,0,23,7.91,귀 (鬼),0,109,"['공포', '스릴러']",['2010.06.10'],15세,2010,6
164,164,164,0,0,11,7.18,귀신소리 찾기 (Invisible 2: Chasing The Ghost Sound),0,40,[''],['2011.01.13'],15세,2011,1
165,165,165,0,0,10,8.8,귀신이 산다 (Ghost House),0,123,"['코미디', '공포', '판타지']",['2004.09.17'],12세,2004,9
166,166,166,36,159,18,6.89,귀접 (A Touch Of Unseen),0,84,['드라마'],['2014.05.29'],청소년,2014,5
167,167,167,136,1736,74,7.96,"귀향, 끝나지 않은 이야기 (Spirits’ Homecoming, Unfinished Story)",1,96,['드라마'],['2017.09.14'],15세,2017,9
168,168,168,0,0,161,9.58,그 강아지 그 고양이 (Cats and Dogs),0,104,['멜로/로맨스'],['2013.12.12'],12세,2013,12
169,169,169,0,0,64,9.73,그 남자의 책 198쪽 (Heartbreak Library),0,97,"['드라마', '멜로/로맨스']",['2008.10.23'],12세,2008,10
170,170,170,0,0,50,4.8,그 놈은 멋있었다 (Geunomeun Meoshiteotda),0,114,"['코미디', '멜로/로맨스']",['2004.07.22'],15세,2004,7
171,171,171,26,227,25,9.16,그 사람 추기경 (The Cardinal),0,121,['다큐멘터리'],['2014.08.06'],전체,2014,8
172,172,172,0,0,33,9.55,그 여자 그 남자의 속사정,0,102,"['멜로/로맨스', '코미디']",['2013.01.31'],15세,2013,1
173,173,173,4,62,22,9.9,그 자퇴하는 학생은 어디로 가면 됩니까! (What Do You Want from Me!),0,34,['다큐멘터리'],[],,0,0
174,174,174,744,667,121,3.77,그 후 (The Day After),0,92,"['드라마', '멜로/로맨스']",['2017.07.06'],청소년,2017,7
175,175,175,449,3992,191,8.87,그것만이 내 세상,0,120,"['코미디', '드라마']",['2018.01.17'],12세,2018,1
176,176,176,1256,8071,284,8.32,그날의 분위기 (Mood of the Day),0,103,"['멜로/로맨스', '코미디']",['2016.01.14'],15세,2016,1
177,177,177,0,0,15,7.47,그녀는 예뻤다 (Life Is Cool),0,95,"['멜로/로맨스', '드라마', '애니메이션']",['2008.06.12'],15세,2008,6
178,178,178,0,0,14,4.71,그녀를 모르면 간첩 (Spy Girl),0,100,"['코미디', '멜로/로맨스']",['2004.01.30'],15세,2004,1
179,179,179,0,0,20,8.95,그녀를 믿지 마세요 (Don't Believe Her),1,115,"['코미디', '멜로/로맨스']",['2004.02.20'],12세,2004,2
180,180,180,0,0,800,9.18,그놈 목소리 (Voice Of A Murder),1,122,"['드라마', '미스터리', '범죄', '스릴러']",['2007.02.01'],12세,2007,2
181,181,181,575,5658,251,9.31,그놈이다 (FATAL INTUITION),1,109,['스릴러'],['2015.10.28'],15세,2015,10
182,182,182,0,0,579,9.62,그대를 사랑합니다 (I Love You),1,118,['드라마'],['2011.02.17'],15세,2011,2
183,183,183,31,262,19,9.21,그댄 나의 뱀파이어 (You Are My Vampire),0,99,"['드라마', '멜로/로맨스', '코미디']",['2014.06.12'],15세,2014,6
184,184,184,0,0,86,9.69,그들이 사는 세상,0,0,[''],['2008.10.27'],15세,2008,10
185,185,185,43,166,12,7.5,그들이 죽었다 (We Will Be Ok),0,102,"['판타지', '드라마']",['2015.12.10'],15세,2015,12
186,186,186,0,0,75,5.91,그때 그사람들 (The President's Last Bang),0,102,"['미스터리', '코미디']",['2005.02.03'],15세,2005,2
187,187,187,34,286,20,9.55,그라운드의 이방인 (Strangers on the Field),0,103,['다큐멘터리'],['2015.03.19'],전체,2015,3
188,188,188,170,2746,349,9.41,"그래, 가족 (My Little Brother)",0,106,"['드라마', '코미디']",['2017.02.15'],12세,2017,2
189,189,189,56,156,38,9.05,그렌델 (Grendel),0,98,"['미스터리', '드라마']",['2017.11.23'],15세,2017,11
190,190,190,0,0,27,9.28,그리고 싶은 것 (The Big Picture),0,92,['다큐멘터리'],['2013.08.15'],전체,2013,8
191,191,191,15,142,17,8.82,그리울 련 (Amor),0,84,"['판타지', '멜로/로맨스']",['2015.08.13'],12세,2015,8
192,192,192,0,0,421,6,그림자 살인 (Private Eye),0,111,['스릴러'],['2009.04.02'],15세,2009,4
193,193,193,0,0,266,8.81,극락도 살인사건 (Paradise Murdered),1,112,"['미스터리', '스릴러', '코미디']",['2007.04.12'],15세,2007,4
194,194,194,1140,9189,235,8.74,극비수사 (The Classified File),1,108,"['드라마', '범죄']",['2015.06.18'],15세,2015,6
195,195,195,0,0,19,8.37,극장전 (劇場前),0,89,['드라마'],['2005.05.26'],청소년,2005,5
196,196,196,127,1247,290,9.69,극장판 꼬마버스 타요의 에이스 구출작전,0,48,['애니메이션'],['2016.01.21'],전체,2016,1
197,197,197,122,1281,214,9.71,극장판 또봇: 로봇군단의 습격,0,80,['애니메이션'],['2017.04.27'],전체,2017,4
198,198,198,29,103,27,8.48,극장판 뛰뛰빵빵 구조대 미션 : 둥둥이를 구하라! (T-pang Rescue),0,80,['애니메이션'],['2014.08.07'],전체,2014,8
199,199,199,13,483,34,9.38,극장판 레이디버그: 미라클스톤의 비밀,0,66,['애니메이션'],['2018.01.25'],,2018,1
200,200,200,131,1719,31,9.23,극장판 안녕 자두야 (Hello Jadoo),0,75,['애니메이션'],['2016.05.04'],전체,2016,5
201,201,201,22,416,186,9.62,극장판 프랭키와 친구들: 생명의 나무 (Franky and Friends : A tree of Life),0,72,['애니메이션'],['2016.04.13'],전체,2016,4
202,202,202,84,1476,82,9.43,극장판 프리즘스톤 올스타 셀렉션 (劇場版　プリティ?リズム?オ?ルスタ?セレクション　プリズムショ?☆ベストテン),0,70,"['애니메이션', '드라마']",['2016.07.07'],전체,2016,7
203,203,203,76,1237,30,8.8,극장판 프리파라 모두 모여라! 프리즘☆투어즈 (劇場版プリパラ み?んなあつまれ！プリズム☆ツア?ズ),0,90,['애니메이션'],['2016.10.13'],,2016,10
204,204,204,530,2589,95,8.61,극적인 하룻밤 (A Dramatic Night),0,107,"['멜로/로맨스', '코미디']",['2015.12.03'],청소년,2015,12
205,205,205,0,0,464,9.15,글러브,0,144,['드라마'],['2011.01.20'],전체,2011,1
206,206,206,1269,26181,933,9.46,글로리데이 (One Way Trip),1,93,['드라마'],['2016.03.24'],15세,2016,3
207,207,207,23,69,14,8.57,"금지된 섹스, 달콤한 복수",0,74,"['멜로/로맨스', '스릴러']",['2016.01.14'],청소년,2016,1
208,208,208,0,0,170,8.48,기다리다 미쳐 (Crazy For Wait),0,108,['멜로/로맨스'],['2008.01.01'],15세,2008,1
209,209,209,4,9,39,8.13,기다린다 (Waiting),0,21,['드라마'],[],12세,0,0
210,210,210,0,0,187,7.69,기담 (奇談),0,98,['공포'],['2007.08.01'],15세,2007,8
211,211,211,4,56,11,9.55,기린과 아프리카 (Giraffe & Africa),0,30,[''],[],,0,0
212,212,212,0,0,177,8.25,기생령 (Ghastly),1,92,['공포'],['2011.08.05'],청소년,2011,8
213,213,213,2459,24306,978,8.84,기술자들 (The Con Artists),0,116,"['범죄', '액션']",['2014.12.24'],15세,2014,12
214,214,214,594,5028,350,9.22,기억의 밤 (Forgotten),1,109,"['미스터리', '스릴러']",['2017.11.29'],15세,2017,11
215,215,215,8,20,45,8.32,기억의 소리 (The Sound of Memories),0,104,"['미스터리', '판타지']",['2016.12.15'],15세,2016,12
216,216,216,30,449,34,9.88,기적의 피아노 (The Piano),0,80,['다큐멘터리'],['2015.09.03'],전체,2015,9
217,217,217,2,14,53,8.89,기타가 웃는다 (Laughing Guitar),0,97,['드라마'],[],12세,0,0
218,218,218,1,33,13,10,기타와 나 (Guitar & Me),0,8,['애니메이션'],[],,0,0
219,219,219,0,0,360,5.2,긴급조치 19호 (Emergency Measure 19),0,101,['코미디'],['2002.07.19'],15세,2002,7
220,220,220,24,446,30,9.97,길 (The Way),0,86,['드라마'],['2017.05.11'],12세,2017,5
221,221,221,0,0,16,9.38,길 위에서,0,104,['다큐멘터리'],['2013.05.23'],전체,2013,5
222,222,222,0,0,255,7.18,김관장 대 김관장 대 김관장 (Three Kims),0,103,"['코미디', '액션']",['2007.02.08'],15세,2007,2
223,223,223,123,2339,137,9.04,김광석 (Suicide Made),1,82,['다큐멘터리'],['2017.08.30'],15세,2017,8
224,224,224,0,0,56,8.93,김복남 살인사건의 전말 (Bedevilled),0,115,['스릴러'],['2010.09.02'],청소년,2010,9
225,225,225,0,0,258,8.89,김씨 표류기 (Castaway On The Moon),0,116,['드라마'],['2009.05.14'],12세,2009,5
226,226,226,0,0,270,9.02,김종욱 찾기 (Finding Mr. Destiny),1,112,"['멜로/로맨스', '코미디']",['2010.12.08'],12세,2010,12
227,227,227,0,0,11,7.82,까불지마 (Shit Up!),0,100,"['코미디', '액션']",['2004.12.03'],15세,2004,12
228,228,228,22,238,66,8.97,까시,0,103,['멜로/로맨스'],['2016.10.27'],청소년,2016,10
229,229,229,0,0,674,9.06,깡철이 (Tough As Iron),0,108,['가족'],['2013.10.02'],15세,2013,10
230,230,230,230,1309,76,6.67,깡치 (Kkangchi),0,90,"['느와르', '액션']",['2016.09.08'],청소년,2016,9
231,231,231,2,16,12,9.75,껍데기 (Peels),0,51,[''],[],,0,0
232,232,232,0,0,590,8.41,꼭두각시 (The Puppet),1,85,"['공포', '스릴러']",['2013.06.20'],청소년,2013,6
233,233,233,0,0,3523,4.75,꽃미남 연쇄 테러사건 (Attack on the Pin-up Boys),0,81,"['미스터리', '코미디']",['2007.07.26'],12세,2007,7
234,234,234,157,252,28,3.96,꽃보다처녀귀신,0,103,[''],['2015.01.15'],청소년,2015,1
235,235,235,0,0,16,9.06,꽃비 (Sadness in Beauty),0,79,['드라마'],['2010.04.01'],청소년,2010,4
236,236,236,1063,6730,325,7.47,꾼 (The Swindlers),1,117,['범죄'],['2017.11.22'],15세,2017,11
237,237,237,54,277,12,9.08,꿈보다 해몽 (A Matter of Interpretation),0,98,"['드라마', '코미디']",['2015.02.12'],15세,2015,2
238,238,238,0,0,174,5.9,꿈은 이루어진다,0,113,"['코미디', '드라마']",['2010.05.27'],15세,2010,5
239,239,239,92,543,74,8.3,꿈의 제인 (Jane),0,104,['드라마'],['2017.05.31'],청소년,2017,5
240,240,240,5,2,40,6.52,나가요 미스콜,0,104,"['멜로/로맨스', '코미디']",['2014.03.13'],청소년,2014,3
241,241,241,0,0,278,9.06,나는 갈매기 (Flying Giants),0,85,['다큐멘터리'],['2009.09.26'],전체,2009,9
242,242,242,31,1131,126,9.81,나는 고양이로소이다 (I am a Cat),0,90,['다큐멘터리'],['2017.06.08'],전체,2017,6
243,243,243,0,0,15,9.07,나는 곤경에 처했다! (I'm In Trouble!),0,98,"['코미디', '드라마']",['2009.12.10'],청소년,2009,12
244,244,244,0,0,66,9.15,나는 공무원이다 (Dangerously Excited),0,101,"['코미디', '드라마']",['2012.07.12'],전체,2012,7
245,245,245,0,0,11,8.27,나는 나를 파괴할 권리가 있다 (My Right To Ravage Myself),0,92,"['미스터리', '멜로/로맨스']",['2005.04.15'],청소년,2005,4
246,246,246,0,0,150,7.87,나는 아빠다 (I am Father),0,99,"['액션', '드라마', '범죄']",['2011.04.14'],청소년,2011,4
247,247,247,0,0,93,7.62,나는 왕이로소이다 (I am the King),0,120,"['드라마', '코미디']",['2012.08.08'],12세,2012,8
248,248,248,52,362,25,9.28,나는 증인이다 (我是?人),0,112,"['미스터리', '스릴러']",['2016.09.14'],15세,2016,9
249,249,249,0,0,24,8.33,나는 행복합니다,0,113,['드라마'],['2009.11.26'],15세,2009,11
250,250,250,18,81,16,8.75,나도 때론 포르노그라피의 주인공이고 싶다 (WET DREAM),0,82,['멜로/로맨스'],['2015.11.12'],청소년,2015,11
251,251,251,937,6851,236,8.35,나를 잊지 말아요 (Remember You),1,106,['멜로/로맨스'],['2016.01.07'],15세,2016,1
252,252,252,0,0,16,8.31,나무없는 산 (Treeless Mountain),0,89,['드라마'],['2009.08.27'],전체,2009,8
253,253,253,0,0,17,8.18,나비와 바다 (Sea of Butterfly),0,89,['다큐멘터리'],['2013.01.24'],12세,2013,1
254,254,254,1,7,29,8.69,나쁜 교육 (Bad Education),0,22,"['드라마', '코미디']",[],15세,0,0
255,255,255,6183,11088,1875,4.01,나쁜 나라 (Cruel State),0,120,['다큐멘터리'],['2015.12.03'],,2015,12
256,256,256,0,0,17,7.59,나쁜 놈이 더 잘 잔다 (A Good Night Sleep For The Bad),0,85,"['범죄', '드라마', '액션', '느와르']",['2010.06.24'],청소년,2010,6
257,257,257,173,327,50,6.32,나쁜 수업 (Bad Class),0,106,['드라마'],[],청소년,0,0
258,258,258,0,0,63,9.23,나쁜 피 (Dirty Blood),0,130,['범죄'],['2012.11.01'],청소년,2012,11
259,259,259,0,0,478,8.79,나의 PS 파트너 (My PS Partner),1,114,"['멜로/로맨스', '코미디']",['2012.12.06'],청소년,2012,12
260,260,260,0,0,103,9.21,나의 결혼 원정기 (Wedding Campaign),1,120,"['드라마', '멜로/로맨스', '코미디']",['2005.11.23'],12세,2005,11
261,261,261,0,0,13,9.31,나의 노래는 (My Song Is...),0,80,['드라마'],['2008.04.25'],12세,2008,4
262,262,262,761,2953,978,8.46,나의 독재자 (My Dictator),0,127,['드라마'],['2014.10.30'],15세,2014,10
263,263,263,0,0,12,10,나의 마음은 지지 않았다 (My Heart Is Not Broken Yet),0,95,"['다큐멘터리', '드라마']",['2009.02.26'],12세,2009,2
264,264,264,921,8499,285,9.17,"나의 사랑 나의 신부 (My Love, My Bride)",1,111,"['멜로/로맨스', '코미디']",['2014.10.08'],15세,2014,10
265,265,265,20,458,77,9.45,나의 살던 고향은 (GOGURYEO),0,95,['다큐멘터리'],['2016.11.24'],전체,2016,11
266,266,266,0,0,16,9.69,나의 스캔들,0,92,"['멜로/로맨스', '드라마']",['2008.03.27'],15세,2008,3
267,267,267,12,75,32,9.25,나의 싸움 (My fighting life),0,39,[''],[],,0,0
268,268,268,16,153,14,9.79,"나의 아들, 나의 어머니 (Where Is My Son?)",0,70,['다큐멘터리'],['2015.12.17'],전체,2015,12
269,269,269,10,95,19,8.84,나의 연기 워크샵 (Hyeon’s Quartet),0,118,[''],['2017.12.28'],15세,2017,12
270,270,270,530,1791,318,9.06,나의 절친 악당들 (Intimate Enemies),1,110,"['액션', '범죄', '드라마']",['2015.06.25'],청소년,2015,6
